seller_id,total_gmv,total_items_sold,total_orders,avg_item_price,median_seller_processing_days,median_delivery_time_days,late_delivery_rate,avg_review_score,review_coverage,product_category
0015a82c2db000af6aaaf3ae2ecb0532,2685.0,3,3,895.0,1.0,7.0,0.0,3.6666666666666665,1.0,small_appliances
001cca7ae9ae17fb1caed9dfb1094831,24487.03,234,234,104.64542735042734,1.0,8.0,0.05128205128205128,3.965367965367965,0.9871794871794872,garden_tools
002100f778ceb8431b7a1020ff7ab48f,1216.6,54,54,22.52962962962963,2.0,9.0,0.16666666666666666,4.037037037037037,1.0,furniture_decor
003554e2dce176b5555353e4f3555ac8,120.0,1,1,120.0,0.0,4.0,0.0,5.0,1.0,unknown
004c9cd9d87a3c30c522c48c4fc07416,19435.74,167,167,116.3816766467066,1.0,10.0,0.059880239520958084,4.163636363636364,0.9880239520958084,bed_bath_table
00720abe85ba0859807595bbf045a33b,1007.5,26,26,38.75,1.0,1.0,0.07692307692307693,3.6538461538461537,1.0,housewares
00ab3eff1b5192e5f1a63bcecfee11c8,98.0,1,1,98.0,3.0,5.0,0.0,5.0,1.0,health_beauty
00d8b143d12632bad99c0ad66ad52825,86.0,1,1,86.0,1.0,5.0,0.0,5.0,1.0,fashion_bags_accessories
00ee68308b45bc5e2660cd833c3f81cc,19323.0,165,165,117.10909090909091,1.0,4.0,0.05454545454545454,4.353658536585366,0.9939393939393939,bed_bath_table
00fc707aaaad2d31347cf883cd2dfe10,12684.9,135,135,93.96222222222222,1.0,11.0,0.037037037037037035,3.791044776119403,0.9925925925925926,computers_accessories
010543a62bd80aa422851e79a3bc7540,1416.0,2,2,708.0,2.5,5.5,0.0,4.5,1.0,computers_accessories
010da0602d7774602cd1b3f5fb7b709e,849.5,5,5,169.9,20.0,4.0,0.0,1.0,1.0,kitchen_dining_laundry_garden_furniture
011b0eaba87386a2ae96a7d32bb531d1,99.98,2,2,49.99,14.0,9.0,0.0,4.0,1.0,health_beauty
01266d4c46afa519678d16a8b683d325,90.25,3,3,30.083333333333332,0.0,4.0,0.0,5.0,1.0,costruction_tools_tools
013900e863eace745d3ec7614cab5b1a,1619.7,26,26,62.29615384615385,2.0,7.0,0.0,4.730769230769231,1.0,fashion_shoes
014c0679dd340a0e338872e7ec85666a,7058.0,15,15,470.53333333333336,4.0,11.0,0.13333333333333333,3.6666666666666665,1.0,kitchen_dining_laundry_garden_furniture
014d9a685fd57276679edd00e07089e5,729.88,12,12,60.82333333333333,1.5,6.0,0.0,3.8333333333333335,1.0,stationery
0176f73cc1195f367f7b32db1e5b3aa8,4563.3,37,37,123.33243243243244,1.0,7.0,0.10810810810810811,4.054054054054054,1.0,bed_bath_table
01bcc9d254a0143f0ce9791b960b2a47,1393.21,10,10,139.321,0.0,9.0,0.0,4.4,1.0,health_beauty
01c97ebb5cdac52891c0ed1c37ba0012,577.5,12,12,48.125,0.0,9.0,0.0,4.083333333333333,1.0,computers_accessories
01cf7e3d21494c41fb86034f2e714fa1,9209.66,64,64,143.9009375,2.0,7.0,0.046875,4.174603174603175,0.984375,air_conditioning
01ed254b9ff8407dfb9d99ba1e17d923,1465.99,5,5,293.198,0.0,3.0,0.0,5.0,1.0,watches_gifts
01fd077212124329bac32490e8ef80d9,1208.0,39,39,30.974358974358974,1.0,6.0,0.02564102564102564,4.3076923076923075,1.0,health_beauty
01fdefa7697d26ad920e9e0346d4bd1b,14702.630000000001,129,129,113.97387596899226,1.0,6.0,0.05426356589147287,4.3671875,0.9922480620155039,health_beauty
0241d4d5d36f10f80c644447315af0bd,30669.2,240,240,127.78833333333334,1.0,7.0,0.04583333333333333,4.301255230125523,0.9958333333333333,furniture_decor
0249d282d911d23cb8b869ab49c99f53,393.0,11,11,35.72727272727273,2.0,4.0,0.18181818181818182,4.2727272727272725,1.0,sports_leisure
024b564ae893ce8e9bfa02c10a401ece,706.4000000000001,8,8,88.30000000000001,14.0,4.0,0.0,4.75,1.0,market_place
028872bfa080090a9d0abd4f1af168f8,70.5,3,3,23.5,4.0,12.0,0.0,5.0,1.0,unknown
02b72cdeb9cfcc429f1af6f4e3f3b737,522.65,4,4,130.6625,0.0,11.0,0.0,4.75,1.0,baby
02c988090b766852e088c69d7fb3b551,1383.47,15,15,92.23133333333334,1.0,3.0,0.0,4.733333333333333,1.0,signaling_and_security
02d35243ea2e497335cd0f076b45675d,5794.0,16,16,362.125,9.5,13.0,0.25,2.6875,1.0,furniture_decor
02dcd3e8e25bee036e32512bcf175493,1341.9,15,15,89.46000000000001,3.0,7.0,0.3333333333333333,3.933333333333333,1.0,stationery
02ecc2a19303f05e59ce133fd923fff7,5264.19,24,24,219.34124999999997,3.0,5.5,0.0,4.541666666666667,1.0,garden_tools
02f5837340d7eb4f653d676c7256523a,3883.05,30,30,129.435,1.5,5.0,0.03333333333333333,4.833333333333333,1.0,luggage_accessories
02f623a8eb246f3c5f7c2f96462654e6,6060.0,42,42,144.28571428571428,0.0,6.0,0.07142857142857142,4.536585365853658,0.9761904761904762,sports_leisure
0307f7565ff85b299b6e5ef162b1b1a9,4711.9,6,6,785.3166666666666,4.5,9.0,0.0,3.5,1.0,cool_stuff
0336182e1b3e92f029d5354832045fdf,29.8,2,2,14.9,8.0,3.0,0.0,2.0,1.0,furniture_decor
034b9387752bfa309f350a70cd45ffa3,96.0,8,8,12.0,1.0,5.0,0.0,4.5,1.0,toys
